,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,non-free sulfur dioxide,density,pH,sulphates,alcohol,type
fixed acidity,1.0,0.2041612930315054,0.3084843089958523,-0.11866450862957097,0.2905219796418153,-0.2871470682574175,-0.29656925743668255,0.4557792781382626,-0.23359337536461958,0.3102344489464959,-0.1062898899495892,0.49088701159778697
volatile acidity,0.2041612930315054,1.0,-0.39331391642457675,-0.20421648839023465,0.3581759785347835,-0.3386413271201001,-0.37290581650026067,0.2484124045871804,0.26370603014272287,0.21908451704041515,-0.027555994211305848,0.6408893241433092
citric acid,0.3084843089958523,-0.39331391642457675,1.0,0.13514203693931987,0.03375314336802335,0.13137773201838726,0.19047537451434646,0.08812723287253113,-0.3284855573644341,0.05153886199054679,-0.027390711815099427,-0.18877498844531138
residual sugar,-0.11866450862957097,-0.20421648839023465,0.13514203693931987,1.0,-0.12978637717097513,0.4052965445989545,0.4551071468716724,0.5553911828821841,-0.2606630267908851,-0.17470527090128096,-0.3813014624630639,-0.3369210717566377
chlorides,0.2905219796418153,0.3581759785347835,0.03375314336802335,-0.12978637717097513,1.0,-0.17830302291407948,-0.2641823135573393,0.36541016202925636,0.06248525977899338,0.3784093181200353,-0.2681981924489169,0.5143436295599261
free sulfur dioxide,-0.2871470682574175,-0.3386413271201001,0.13137773201838726,0.4052965445989545,-0.17830302291407948,1.0,0.49302332399604776,0.048138375811621475,-0.12771270631564371,-0.1718243518778025,-0.1901988989303556,-0.4476235146611045
non-free sulfur dioxide,-0.29656925743668255,-0.37290581650026067,0.19047537451434646,0.4551071468716724,-0.2641823135573393,0.49302332399604776,1.0,0.045751824179512374,-0.22919207796022223,-0.2691390835031816,-0.2756903442508825,-0.6797167667719327
density,0.4557792781382626,0.2484124045871804,0.08812723287253113,0.5553911828821841,0.36541016202925636,0.048138375811621475,0.045751824179512374,1.0,0.024742144013499227,0.2732314012897805,-0.7126142644644423,0.3950680027378079
pH,-0.23359337536461958,0.26370603014272287,-0.3284855573644341,-0.2606630267908851,0.06248525977899338,-0.12771270631564371,-0.22919207796022223,0.024742144013499227,1.0,0.20777989876098366,0.12024475378458299,0.34144403303886467
sulphates,0.3102344489464959,0.21908451704041515,0.05153886199054679,-0.17470527090128096,0.3784093181200353,-0.1718243518778025,-0.2691390835031816,0.2732314012897805,0.20777989876098366,1.0,-0.013665358091213761,0.49795762496520257
alcohol,-0.1062898899495892,-0.027555994211305848,-0.027390711815099427,-0.3813014624630639,-0.2681981924489169,-0.1901988989303556,-0.2756903442508825,-0.7126142644644423,0.12024475378458299,-0.013665358091213761,1.0,-0.03278920700906494
type,0.49088701159778697,0.6408893241433092,-0.18877498844531138,-0.3369210717566377,0.5143436295599261,-0.4476235146611045,-0.6797167667719327,0.3950680027378079,0.34144403303886467,0.49795762496520257,-0.03278920700906494,1.0
